user_id,content_id,action_type,timestamp
S001,D001,view_lecture,1743435156737
S002,D002,view_assignment,1743280122737
S003,D003,view_video,1742091402737
S004,D004,view_video,1744254090737
S005,D005,view_video,1744104819737
S006,D006,view_lecture,1744136345737
S007,D007,view_video,1743844479737
S008,D008,view_video,1742076965737
S009,D009,view_assignment,1742719117737
S010,D010,view_video,1744362506737
S011,D011,view_lecture,1743472152737
S012,D012,view_video,1744155209737
S013,D013,view_video,1743047669737
S014,D014,view_video,1742022107737
S015,D015,view_video,1743291417737
S016,D016,view_lecture,1742283249737
S017,D017,view_lecture,1743092864737
S018,D018,view_lecture,1742408516737
S019,D019,view_assignment,1742778717737
S020,D020,view_assignment,1744138472737
S021,D021,view_video,1743149345737
S022,D022,view_video,1742429947737
S023,D023,view_video,1744055763737
S024,D024,view_assignment,1743716371737
S025,D025,view_video,1743203834737
S026,D026,view_video,1744230023737
S027,D027,view_lecture,1743266826737
S028,D028,view_lecture,1744164420737
S029,D029,view_video,1742073271737
S030,D030,view_lecture,1742869147737
S031,D031,view_video,1743850142737
S032,D032,view_assignment,1742734166737
S033,D033,view_lecture,1742316997737
S034,D034,view_assignment,1743992523737
S035,D035,view_video,1742704243737
S036,D036,view_assignment,1741741002737
S037,D037,view_assignment,1742238486737
S038,D038,view_video,1742728190737
S039,D039,view_lecture,1743694023737
S040,D040,view_lecture,1743976555737
S041,D041,view_video,1741831227737
S042,D042,view_assignment,1741730723737
S043,D043,view_lecture,1742538657737
S044,D044,view_assignment,1742218931737
S045,D045,view_video,1741776588737
S046,D046,view_assignment,1742088634737
S047,D047,view_video,1742736785737
S048,D048,view_assignment,1743328519737
S049,D049,view_lecture,1742571521737
S050,D050,view_assignment,1743459428737
S001,D051,view_assignment,1743031019737
S002,D052,view_video,1742333061737
S003,D053,view_video,1742194002737
S004,D054,view_assignment,1743446929737
S005,D055,view_lecture,1744103696737
S006,D056,view_assignment,1744315108737
S007,D057,view_lecture,1744280185737
S008,D058,view_video,1742247915737
S009,D059,view_assignment,1744259285737
S010,D060,view_assignment,1743505862737
S011,D061,view_video,1743989605737
S012,D062,view_lecture,1744354149737
S013,D063,view_video,1743568608737
S014,D064,view_video,1744172938737
S015,D065,view_lecture,1744147659737
S016,D066,view_assignment,1744351939737
S017,D067,view_video,1743581646737
S018,D068,view_video,1742995657737
S019,D069,view_video,1743883152737
S020,D070,view_video,1742764193737
S021,D071,view_video,1741824090737
S022,D072,view_video,1744245257737
S023,D073,view_assignment,1743926618737
S024,D074,view_lecture,1742823120737
S025,D075,view_assignment,1741767424737
S026,D076,view_assignment,1744155626737
S027,D077,view_lecture,1742006744737
S028,D078,view_assignment,1743852403737
S029,D079,view_video,1743353228737
S030,D080,view_video,1741738616737
S031,D081,view_video,1743291410737
S032,D082,view_lecture,1742069778737
S033,D083,view_assignment,1742009172737
S034,D084,view_lecture,1742320121737
S035,D085,view_video,1744224775737
S036,D086,view_video,1742047458737
S037,D087,view_assignment,1742623962737
S038,D088,view_lecture,1742242183737
S039,D089,view_assignment,1742202399737
S040,D090,view_video,1743229335737
S041,D091,view_video,1742040641737
S042,D092,view_video,1741921754737
S043,D093,view_assignment,1743212111737
S044,D094,view_lecture,1741757847737
S045,D095,view_video,1742669429737
S046,D096,view_assignment,1742070426737
S047,D097,view_video,1744333927737
S048,D098,view_lecture,1742170190737
S049,D099,view_lecture,1743951065737
S050,D100,view_assignment,1744165459737
